chr	start	end	sample	ref_A	ref_T	ref_AT	ref_CpG	read_depth	A_denom	AT_denom	CpG_denom	bin_bp_denom	m6A_count	mCG_count_raw	mCG_count	MSP_bp	nuc_bp	mCG_PASS_n	mCG_EDGE_plus2_n	mCG_FAIL_excess_n	m6A_per_A	m6A_per_AT	mCG_per_CpG	MSP_fraction	nuc_fraction
chr9	45267770	45272770	PAN027Pat_iPSC	1514	1609	3123	67	2	3028	6246	134	10000	23	124	124	956	27652	2	0	0	0.007596	0.003682	0.925373	0.095600	2.765200
chr9	47372770	47377770	PAN027Pat_iPSC	1508	1615	3123	73	8	12064	24984	584	40000	360	531	531	28656	332272	8	0	0	0.029841	0.014409	0.909247	0.716400	8.306800
chr9	45672770	45677770	PAN027Pat_iPSC	1508	1617	3125	66	6	9048	18750	396	30000	241	336	336	15804	256986	6	0	0	0.026636	0.012853	0.848485	0.526800	8.566200
chr9	46927770	46932770	PAN027Pat_iPSC	1517	1621	3138	69	4	6068	12552	276	20000	106	270	270	3148	113224	4	0	0	0.017469	0.008445	0.978261	0.157400	5.661200
chr9	46382770	46387770	PAN027Pat_iPSC	1493	1624	3117	68	7	10451	21819	476	35000	173	403	403	12621	339577	7	0	0	0.016553	0.007929	0.846639	0.360600	9.702200
chr9	47637770	47642770	PAN027Pat_iPSC	1527	1607	3134	68	7	10689	21938	476	35000	874	448	448	52927	254933	7	0	0	0.081766	0.039840	0.941176	1.512200	7.283800
chr9	45777770	45782770	PAN027Pat_iPSC	1512	1617	3129	66	6	9072	18774	396	30000	151	368	368	7638	195810	6	0	0	0.016645	0.008043	0.929293	0.254600	6.527000
chr9	45337770	45342770	PAN027Pat_iPSC	1508	1616	3124	69	6	9048	18744	414	30000	266	383	383	14226	184530	6	0	0	0.029399	0.014191	0.925121	0.474200	6.151000
chr9	47442770	47447770	PAN027Pat_iPSC	1492	1627	3119	69	5	7460	15595	345	25000	212	316	316	10435	124600	5	0	0	0.028418	0.013594	0.915942	0.417400	4.984000
chr9	45742770	45747770	PAN027Pat_iPSC	1510	1627	3137	66	4	6040	12548	264	20000	144	248	248	6688	101748	4	0	0	0.023841	0.011476	0.939394	0.334400	5.087400
chr9	46487770	46492770	PAN027Pat_iPSC	1507	1619	3126	68	7	10549	21882	476	35000	292	454	454	18851	233289	7	0	0	0.027680	0.013344	0.953782	0.538600	6.665400
chr9	46892770	46897770	PAN027Pat_iPSC	1515	1617	3132	72	8	12120	25056	576	40000	309	569	569	15352	318832	8	0	0	0.025495	0.012332	0.987847	0.383800	7.970800
chr9	47002770	47007770	PAN027Pat_iPSC	1500	1627	3127	67	6	9000	18762	402	30000	126	309	309	4464	184128	6	0	0	0.014000	0.006716	0.768657	0.148800	6.137600
chr9	46452770	46457770	PAN027Pat_iPSC	1497	1619	3116	71	2	2994	6232	142	10000	105	133	133	2332	21482	2	0	0	0.035070	0.016849	0.936620	0.233200	2.148200
chr9	47707770	47712770	PAN027Pat_iPSC	1527	1617	3144	63	8	12216	25152	504	40000	253	485	485	20312	370120	8	0	0	0.020711	0.010059	0.962302	0.507800	9.253000
chr9	47162770	47167770	PAN027Pat_iPSC	1518	1620	3138	65	9	13662	28242	585	45000	569	549	549	53874	403371	9	0	0	0.041648	0.020147	0.938462	1.197200	8.963800
chr9	46717770	46722770	PAN027Pat_iPSC	1499	1627	3126	71	9	13491	28134	639	45000	483	581	581	29691	363582	9	0	0	0.035802	0.017168	0.909233	0.659800	8.079600
chr9	47867770	47872770	PAN027Pat_iPSC	1526	1616	3142	67	4	6104	12568	268	20000	334	255	255	7728	75704	4	0	0	0.054718	0.026575	0.951493	0.386400	3.785200
chr9	45407770	45412770	PAN027Pat_iPSC	1508	1624	3132	65	5	7540	15660	325	25000	153	306	306	9195	142650	5	0	0	0.020292	0.009770	0.941538	0.367800	5.706000
chr9	45812770	45817770	PAN027Pat_iPSC	1500	1621	3121	70	3	4500	9363	210	15000	125	207	207	8250	56382	3	0	0	0.027778	0.013350	0.985714	0.550000	3.758800
chr9	46117770	46122770	PAN027Pat_iPSC	1505	1620	3125	71	4	6020	12500	284	20000	355	226	226	13840	89176	4	0	0	0.058970	0.028400	0.795775	0.692000	4.458800
chr9	46522770	46527770	PAN027Pat_iPSC	1503	1620	3123	70	3	4509	9369	210	15000	107	192	192	3708	78537	3	0	0	0.023730	0.011421	0.914286	0.247200	5.235800
chr9	47267770	47272770	PAN027Pat_iPSC	1498	1628	3126	67	4	5992	12504	268	20000	319	220	220	12888	95716	4	0	0	0.053238	0.025512	0.820896	0.644400	4.785800
chr9	45567770	45572770	PAN027Pat_iPSC	1499	1622	3121	69	5	7495	15605	345	25000	429	314	314	22765	139795	5	0	0	0.057238	0.027491	0.910145	0.910600	5.591800
